model,phenotype,test_case,tier,prompt_variant,precision,recall,f1,expected_count,actual_count
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,1,broad,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,1,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,1,naive,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,2,broad,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,2,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,2,naive,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,3,broad,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,3,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-comprehensive,3,naive,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,1,broad,1.0,0.7993,0.8885,578,462
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,1,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,1,naive,1.0,0.7993,0.8885,578,462
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,2,broad,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,2,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,2,naive,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,3,broad,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,3,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx,3,naive,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,1,broad,1.0,0.2007,0.3343,578,116
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,1,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,1,naive,0.0,0.0,0.0,578,0
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,2,broad,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,2,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,2,naive,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,3,broad,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,3,expert,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-dx-icd10,3,naive,1.0,1.0,1.0,578,578
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-procedures,1,broad,0.0,0.0,0.0,104,0
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-procedures,1,expert,1.0,1.0,1.0,104,104
copilot:claude-sonnet-4.6,abdominal-aortic-aneurysm,phekb-abdominal-aortic-aneurysm-procedures,1,naive,0.0,0.0,0.0,104,0
